model,explain_method,seed,function,samples,dimension,noise,variable_index,score,is_active,source_file
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,52,0.0403850860893726,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,53,0.0496602840721607,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,54,0.0132189588621258,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,55,0.0472485236823558,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,56,0.0102158384397625,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,57,0.0051681995391845,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,58,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,59,0.0479828529059886,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,60,0.0678857192397117,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,61,0.024724006652832,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,62,0.0084098177030682,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,63,0.0244000758975744,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,64,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,65,0.089468240737915,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,66,0.049762487411499,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,67,0.0051522254943847,0,core_d100_nonoracle_scores.csv
